Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	2	217.057323978	217.563682032	0.000	96000.000	0.5064	96000.000	-74.11	
2	Spectrogram 1	2	224.903816783	225.227749546	0.000	96000.000	0.3239	96000.000	-62.71	FJ
3	Spectrogram 1	2	225.391420836	225.650567046	0.000	96000.000	0.2591	96000.000	-68.57	
4	Spectrogram 1	2	270.578386384	270.755696948	0.000	96000.000	0.1773	96000.000	-75.00	
5	Spectrogram 1	2	270.893794599	271.243301001	1122.807	91508.772	0.3495	90385.965	-78.05	
6	Spectrogram 1	2	271.303596847	271.659922886	0.000	96000.000	0.3563	96000.000	-79.23	
7	Spectrogram 1	2	307.889876050	308.322923006	3929.825	96000.000	0.4330	92070.175	-80.17	
8	Spectrogram 1	2	329.084314056	329.655458663	0.000	96000.000	0.5711	96000.000	-76.22	
9	Spectrogram 1	2	329.703819763	330.235751456	0.000	96000.000	0.5319	96000.000	-72.07	
10	Spectrogram 1	2	359.509173739	360.743528054	0.000	96000.000	1.2344	96000.000	-73.90	
11	Spectrogram 1	2	411.587259628	413.193284164	0.000	96000.000	1.6060	96000.000	-72.95	
12	Spectrogram 1	2	448.814584710	449.663629528	0.000	96000.000	0.8490	96000.000	-76.52	
13	Spectrogram 1	2	491.993624752	493.347322715	0.000	96000.000	1.3537	96000.000	-68.46	FJ
14	Spectrogram 1	2	493.450240911	494.012860972	0.000	96000.000	0.5626	96000.000	-66.03	
15	Spectrogram 1	2	494.043549339	494.466366839	0.000	96000.000	0.4228	96000.000	-62.24	
16	Spectrogram 1	2	494.532401053	495.207545126	1964.912	96000.000	0.6751	94035.088	-75.59	
17	Spectrogram 1	2	495.794033916	495.906557928	0.000	96000.000	0.1125	96000.000	-54.38	
18	Spectrogram 1	2	539.246483081	539.928446791	0.000	96000.000	0.6820	96000.000	-76.56	
19	Spectrogram 1	2	645.825498095	646.681362550	2807.018	96000.000	0.8559	93192.982	-82.12	chaos
20	Spectrogram 1	2	691.085774730	692.401964690	0.000	96000.000	1.3162	96000.000	-69.42	
21	Spectrogram 1	2	723.819873078	724.198362937	0.000	96000.000	0.3785	96000.000	-76.31	
22	Spectrogram 1	2	724.351804772	724.556393884	0.000	96000.000	0.2046	96000.000	-77.18	
23	Spectrogram 1	2	724.795081183	724.996260477	0.000	96000.000	0.2012	96000.000	-73.59	
24	Spectrogram 1	2	725.180390679	725.337242332	0.000	96000.000	0.1569	96000.000	-67.44	FJ
25	Spectrogram 1	2	725.514552896	725.725961646	2245.614	96000.000	0.2114	93754.386	-74.39	
26	Spectrogram 1	2	729.936172960	732.275308484	0.000	96000.000	2.3391	96000.000	-78.37	
27	Spectrogram 1	2	761.458537824	765.113863307	0.000	96000.000	3.6553	96000.000	-64.62	SUB? 
