Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	127.704578200	128.112490149	0.000	96000.000	0.4079	96000.000	-76.80	
2	Spectrogram 1	1	272.470313573	273.168057697	0.000	96000.000	0.6977	96000.000	-68.49	
3	Spectrogram 1	1	468.699302965	472.778422462	0.000	96000.000	4.0791	96000.000	-73.56	
4	Spectrogram 1	1	474.085613244	476.554553992	2891.566	96000.000	2.4689	93108.434	-74.58	
5	Spectrogram 1	1	479.462171197	481.678850608	0.000	96000.000	2.2167	96000.000	-70.92	DC
6	Spectrogram 1	1	482.351722518	484.573769191	0.000	96000.000	2.2220	96000.000	-73.63	
7	Spectrogram 1	1	494.429342081	497.708739466	0.000	96000.000	3.2794	96000.000	-72.34	DC
8	Spectrogram 1	2	496.302516692	496.527941717	0.000	96000.000	0.2254	96000.000	-70.15	DC
9	Spectrogram 1	1	565.403417352	565.937197359	0.000	96000.000	0.5338	96000.000	-72.66	
10	Spectrogram 1	1	566.248498584	566.849631983	0.000	96000.000	0.6011	96000.000	-73.55	
